"Name";"Bereich";"Information";"V.-Datum";"Relevanz";"session.sessionid=";"fts_search_list.selected";"fts_search_list.destHistoryId";"timestamp"
"VALOVIS BANK AG Essen";"Rechnungslegung/ Finanzberichte";"» Halbjahresfinanzbericht zum 30. Juni 2011";"21.09.2011";"50%";"aba51bcc9fdd59516710d900a8a5ca24";"a6ceb5dae9743599";"46042";"Thu Jul 16 00:38:59 2020"
"VALOVIS BANK AG Essen";"Rechnungslegung/ Finanzberichte";"» Konzern-Halbjahresfinanzbericht zum 30. Juni 2010";"19.10.2010";"50%";"aba51bcc9fdd59516710d900a8a5ca24";"0e9fbc8cea96eccc";"46042";"Thu Jul 16 00:38:59 2020"
