,Data Set,epochs,batch_size,padding,kernel-size,filters,first_activation,dropout,output_activation,accuracy,F1-Score
0,Y_10_4_abs_abs_(3),100,10,same,4,64,relu,0.1,softmax,44.74576413631439,0.30313923637261464
1,Y_10_4_abs_abs_(3),100,20,same,4,64,relu,0.1,softmax,45.64971625804901,0.30436563878937184
2,Y_10_4_abs_abs_(3),200,10,same,4,64,relu,0.1,softmax,45.31073570251465,0.3090220095416427
3,Y_10_4_abs_abs_(3),200,20,same,4,64,relu,0.1,softmax,44.293785095214844,0.3085067398647445
4,Y_10_4_abs_abs_(5),100,10,same,4,64,relu,0.1,softmax,27.231639623641968,0.13817282774578027
5,Y_10_4_abs_abs_(5),100,20,same,4,64,relu,0.1,softmax,27.909603714942932,0.14764943658063295
6,Y_10_4_abs_abs_(5),200,10,same,4,64,relu,0.1,softmax,27.231639623641968,0.15740618489042885
7,Y_10_4_abs_abs_(5),200,20,same,4,64,relu,0.1,softmax,27.457627654075623,0.1630475847195837
8,Y_10_4_abs_abs_(6),100,10,same,4,64,relu,0.1,softmax,25.310733914375305,0.13105870289693586
9,Y_10_4_abs_abs_(6),100,20,same,4,64,relu,0.1,softmax,23.728813230991364,0.14976102299920319
10,Y_10_4_abs_abs_(6),200,10,same,4,64,relu,0.1,softmax,24.971751868724823,0.11869926167557167
11,Y_10_4_abs_abs_(6),200,20,same,4,64,relu,0.1,softmax,24.519774317741394,0.1317827912184268
12,Y_10_4_abs_rel_(3),100,10,same,4,64,relu,0.1,softmax,41.69491529464722,0.25373820223225674
13,Y_10_4_abs_rel_(3),100,20,same,4,64,relu,0.1,softmax,41.355931758880615,0.2686456944384093
14,Y_10_4_abs_rel_(3),200,10,same,4,64,relu,0.1,softmax,41.016948223114014,0.26008745559587326
15,Y_10_4_abs_rel_(3),200,20,same,4,64,relu,0.1,softmax,40.903955698013306,0.2748099470558666
16,Y_10_4_abs_rel_(5),100,10,same,4,64,relu,0.1,softmax,31.412428617477417,0.179200827473114
17,Y_10_4_abs_rel_(5),100,20,same,4,64,relu,0.1,softmax,31.864407658576965,0.17522218745674814
18,Y_10_4_abs_rel_(5),200,10,same,4,64,relu,0.1,softmax,31.186440587043762,0.20785695862388204
19,Y_10_4_abs_rel_(5),200,20,same,4,64,relu,0.1,softmax,31.073445081710815,0.17464879703932307
20,Y_10_4_abs_rel_(6),100,10,same,4,64,relu,0.1,softmax,25.423729419708252,0.11832120534457376
21,Y_10_4_abs_rel_(6),100,20,same,4,64,relu,0.1,softmax,25.197741389274597,0.11914609068328982
22,Y_10_4_abs_rel_(6),200,10,same,4,64,relu,0.1,softmax,25.197741389274597,0.12108947789754426
23,Y_10_4_abs_rel_(6),200,20,same,4,64,relu,0.1,softmax,24.74576234817505,0.13254304413492196
24,Y_10_4_first_abs_(3),100,10,same,4,64,relu,0.1,softmax,38.98304998874664,0.34930584176331214
25,Y_10_4_first_abs_(3),100,20,same,4,64,relu,0.1,softmax,40.45197665691376,0.361665898140151
26,Y_10_4_first_abs_(3),200,10,same,4,64,relu,0.1,softmax,39.20904099941254,0.36437307285248915
27,Y_10_4_first_abs_(3),200,20,same,4,64,relu,0.1,softmax,40.564972162246704,0.3722508163607814
28,Y_10_4_first_abs_(5),100,10,same,4,64,relu,0.1,softmax,26.32768452167511,0.23323874532770555
